batch number;plate number;imgname;imgnameext;stripe?;bullet?;value
001;001;b_001_p_001_n;b_001_p_001_n.jpg;0;;50,73
001;001;b_001_p_001_s;b_001_p_001_s.jpg;1;001;57,122
001;002;b_001_p_002_n;b_001_p_002_n.jpg;0;;46,985
001;002;b_001_p_002_s;b_001_p_002_s.jpg;1;001;68,904
001;003;b_001_p_003_n;b_001_p_003_n.jpg;0;001;35,349
001;003;b_001_p_003_s;b_001_p_003_s.jpg;1;;32,594
001;004;b_001_p_004_n;b_001_p_004_n.jpg;0;001;38,79
001;004;b_001_p_004_s;b_001_p_004_s.jpg;1;;47,354
001;005;b_001_p_005_n;b_001_p_005_n.jpg;0;;42,637
001;005;b_001_p_005_s;b_001_p_005_s.jpg;1;1;44,159
001;006;b_001_p_006_n;b_001_p_006_n.jpg;0;;40,958
001;006;b_001_p_006_s;b_001_p_006_s.jpg;1;1;40,505
001;007;b_001_p_007_n;b_001_p_007_n.jpg;0;1;34,71
001;007;b_001_p_007_s;b_001_p_007_s.jpg;1;;44,46
001;008;b_001_p_008_n;b_001_p_008_n.jpg;0;1;75,51
001;008;b_001_p_008_s;b_001_p_008_s.jpg;1;;37,775
001;009;b_001_p_009_n;b_001_p_009_n.jpg;0;001;39,883
001;009;b_001_p_009_s;b_001_p_009_s.jpg;1;;53,984
001;010;b_001_p_010_n;b_001_p_010_n.jpg;0;001;43,45
001;010;b_001_p_010_s;b_001_p_010_s.jpg;1;;51,164
002;001;b_002_p_001_n;b_002_p_001_n.jpg;0;001;44,769
002;001;b_002_p_001_s;b_002_p_001_s.jpg;1;;55,622
002;002;b_002_p_002_n;b_002_p_002_n.jpg;0;001;55,428
002;002;b_002_p_002_s;b_002_p_002_s.jpg;1;;46,991
002;003;b_002_p_003_n;b_002_p_003_n.jpg;0;1;32,55
002;003;b_002_p_003_s;b_002_p_003_s.jpg;1;;40,301
002;004;b_002_p_004_n;b_002_p_004_n.jpg;0;;27,945
002;004;b_002_p_004_s;b_002_p_004_s.jpg;1;001;31,759
002;005;b_002_p_005_n;b_002_p_005_n.jpg;0;;44,09
002;005;b_002_p_005_s;b_002_p_005_s.jpg;1;1;41,805
002;006;b_002_p_006_n;b_002_p_006_n.jpg;0;1;54,144
002;006;b_002_p_006_s;b_002_p_006_s.jpg;1;;42,022
002;007;b_002_p_007_n;b_002_p_007_n.jpg;0;;70,105
002;007;b_002_p_007_s;b_002_p_007_s.jpg;1;1;76,502
002;008;b_002_p_008_n;b_002_p_008_n.jpg;0;1;58,457
002;008;b_002_p_008_s;b_002_p_008_s.jpg;1;;72,137
002;009;b_002_p_009_n;b_002_p_009_n.jpg;0;;108,938
002;009;b_002_p_009_s;b_002_p_009_s.jpg;1;1;136,442
002;010;b_002_p_010_n;b_002_p_010_n.jpg;0;;114,246
002;010;b_002_p_010_s;b_002_p_010_s.jpg;1;1;69,49
003;001;b_003_p_001_n;b_003_p_001_n.jpg;0;1;157,529
