batch number;plate number;imgname;imgnameext;stripe?;bullet?;value;;newimagename
1;1;b_001_p_001_n;b_001_p_001_n.jpg;0;;50,73;;
1;1;b_001_p_001_s;b_001_p_001_s.jpg;1;1;57,122;;
1;2;b_001_p_002_n;b_001_p_002_n.jpg;0;;46,985;;
1;2;b_001_p_002_s;b_001_p_002_s.jpg;1;1;68,904;;
1;3;b_001_p_003_n;b_001_p_003_n.jpg;0;1;35,349;;
1;3;b_001_p_003_s;b_001_p_003_s.jpg;1;;32,594;;
1;4;b_001_p_004_n;b_001_p_004_n.jpg;0;1;38,79;;
1;4;b_001_p_004_s;b_001_p_004_s.jpg;1;;47,354;;
1;5;b_001_p_005_n;b_001_p_005_n.jpg;0;;42,637;;
1;5;b_001_p_005_s;b_001_p_005_s.jpg;1;1;44,159;;
1;6;b_001_p_006_n;b_001_p_006_n.jpg;0;;40,958;;
1;6;b_001_p_006_s;b_001_p_006_s.jpg;1;1;40,505;;
1;7;b_001_p_007_n;b_001_p_007_n.jpg;0;1;34,71;;
1;7;b_001_p_007_s;b_001_p_007_s.jpg;1;;44,46;;
1;8;b_001_p_008_n;b_001_p_008_n.jpg;0;1;75,51;;
1;8;b_001_p_008_s;b_001_p_008_s.jpg;1;;37,775;;
1;9;b_001_p_009_n;b_001_p_009_n.jpg;0;1;39,883;;
1;9;b_001_p_009_s;b_001_p_009_s.jpg;1;;53,984;;
1;10;b_001_p_010_n;b_001_p_010_n.jpg;0;1;43,45;;
1;10;b_001_p_010_s;b_001_p_010_s.jpg;1;;51,164;;
2;1;b_002_p_001_n;b_002_p_001_n.jpg;0;1;44,769;;
2;1;b_002_p_001_s;b_002_p_001_s.jpg;1;;55,622;;
2;2;b_002_p_002_n;b_002_p_002_n.jpg;0;1;55,428;;
2;2;b_002_p_002_s;b_002_p_002_s.jpg;1;;46,991;;
2;3;b_002_p_003_n;b_002_p_003_n.jpg;0;1;32,55;;
2;3;b_002_p_003_s;b_002_p_003_s.jpg;1;;40,301;;
2;4;b_002_p_004_n;b_002_p_004_n.jpg;0;;27,945;;
2;4;b_002_p_004_s;b_002_p_004_s.jpg;1;1;31,759;;
2;5;b_002_p_005_n;b_002_p_005_n.jpg;0;;44,09;;
2;5;b_002_p_005_s;b_002_p_005_s.jpg;1;1;41,805;;
2;6;b_002_p_006_n;b_002_p_006_n.jpg;0;1;54,144;;
2;6;b_002_p_006_s;b_002_p_006_s.jpg;1;;42,022;;
2;7;b_002_p_007_n;b_002_p_007_n.jpg;0;;70,105;;
2;7;b_002_p_007_s;b_002_p_007_s.jpg;1;1;76,502;;
2;8;b_002_p_008_n;b_002_p_008_n.jpg;0;1;58,457;;
2;8;b_002_p_008_s;b_002_p_008_s.jpg;1;;72,137;;
2;9;b_002_p_009_n;b_002_p_009_n.jpg;0;;108,938;;
2;9;b_002_p_009_s;b_002_p_009_s.jpg;1;1;136,442;;
2;10;b_002_p_010_n;b_002_p_010_n.jpg;0;;114,246;;
2;10;b_002_p_010_s;b_002_p_010_s.jpg;1;1;69,49;;
3;1;b_003_p_001_n;b_003_p_001_n.jpg;0;1;157,529;;
3;1;b_003_p_001_s;b_003_p_001_s.jpg;1;;150,964;;
