bn;pn;bullet;foldername;imgname;value
001;001;;batch_001_plate_001;b_001_p_001_nb.jpg;50,73
001;001;1;batch_001_plate_001;b_001_p_001_b.jpg;57,122
001;002;;batch_001_plate_002;b_001_p_002_nb.jpg;46,985
001;002;1;batch_001_plate_002;b_001_p_002_b.jpg;68,904
001;003;1;batch_001_plate_003;b_001_p_003_b.jpg;35,349
001;003;;batch_001_plate_003;b_001_p_003_nb.jpg;32,594
001;004;1;batch_001_plate_004;b_001_p_004_b.jpg;38,79
001;004;;batch_001_plate_004;b_001_p_004_nb.jpg;47,354
001;005;;batch_001_plate_005;b_001_p_005_nb.jpg;42,637
001;005;1;batch_001_plate_005;b_001_p_005_b.jpg;44,159
001;006;;batch_001_plate_006;b_001_p_006_nb.jpg;40,958
001;006;1;batch_001_plate_006;b_001_p_006_b.jpg;40,505
001;007;1;batch_001_plate_007;b_001_p_007_b.jpg;34,71
001;007;;batch_001_plate_007;b_001_p_007_nb.jpg;44,46
001;008;1;batch_001_plate_008;b_001_p_008_b.jpg;75,51
001;008;;batch_001_plate_008;b_001_p_008_nb.jpg;37,775
001;009;1;batch_001_plate_009;b_001_p_009_b.jpg;39,883
001;009;;batch_001_plate_009;b_001_p_009_nb.jpg;53,984
001;010;1;batch_001_plate_010;b_001_p_010_b.jpg;43,45
001;010;;batch_001_plate_010;b_001_p_010_nb.jpg;51,164
002;001;1;batch_002_plate_001;b_002_p_001_b.jpg;44,769
002;001;;batch_002_plate_001;b_002_p_001_nb.jpg;55,622
002;002;1;batch_002_plate_002;b_002_p_002_b.jpg;55,428
002;002;;batch_002_plate_002;b_002_p_002_nb.jpg;46,991
002;003;1;batch_002_plate_003;b_002_p_003_b.jpg;32,55
002;003;;batch_002_plate_003;b_002_p_003_nb.jpg;40,301
002;004;;batch_002_plate_004;b_002_p_004_nb.jpg;27,945
002;004;1;batch_002_plate_004;b_002_p_004_b.jpg;31,759
002;005;;batch_002_plate_005;b_002_p_005_nb.jpg;44,09
002;005;1;batch_002_plate_005;b_002_p_005_b.jpg;41,805
002;006;1;batch_002_plate_006;b_002_p_006_b.jpg;54,144
002;006;;batch_002_plate_006;b_002_p_006_nb.jpg;42,022
002;007;;batch_002_plate_007;b_002_p_007_nb.jpg;70,105
002;007;1;batch_002_plate_007;b_002_p_007_b.jpg;76,502
002;008;1;batch_002_plate_008;b_002_p_008_b.jpg;58,457
002;008;;batch_002_plate_008;b_002_p_008_nb.jpg;72,137
002;009;;batch_002_plate_009;b_002_p_009_nb.jpg;108,938
002;009;1;batch_002_plate_009;b_002_p_009_b.jpg;136,442
002;010;;batch_002_plate_010;b_002_p_010_nb.jpg;114,246
002;010;1;batch_002_plate_010;b_002_p_010_b.jpg;69,49
003;001;1;batch_003_plate_001;b_003_p_001_b.jpg;157,529
003;001;;batch_003_plate_001;b_003_p_001_nb.jpg;150,964
003;002;;batch_003_plate_002;b_003_p_002_nb.jpg;163,71
003;002;1;batch_003_plate_002;b_003_p_002_b.jpg;250,451
003;003;;batch_003_plate_003;b_003_p_003_nb.jpg;176,707
003;003;1;batch_003_plate_003;b_003_p_003_b.jpg;272,126
003;004;;batch_003_plate_004;b_003_p_004_nb.jpg;159,685
003;004;1;batch_003_plate_004;b_003_p_004_b.jpg;262,487
003;005;;batch_003_plate_005;b_003_p_005_nb.jpg;202,032
003;005;1;batch_003_plate_005;b_003_p_005_b.jpg;161,913
003;006;1;batch_003_plate_006;b_003_p_006_b.jpg;389,15
003;006;;batch_003_plate_006;b_003_p_006_nb.jpg;287,17
003;007;;batch_003_plate_007;b_003_p_007_nb.jpg;172,222
003;007;1;batch_003_plate_007;b_003_p_007_b.jpg;143,723
003;008;1;batch_003_plate_008;b_003_p_008_b.jpg;162,712
003;008;;batch_003_plate_008;b_003_p_008_nb.jpg;147,591
003;009;;batch_003_plate_009;b_003_p_009_nb.jpg;177,483
003;009;1;batch_003_plate_009;b_003_p_009_b.jpg;141,84
003;010;;batch_003_plate_010;b_003_p_010_nb.jpg;168,272
003;010;1;batch_003_plate_010;b_003_p_010_b.jpg;164,79
004;001;;batch_004_plate_001;b_004_p_001_nb.jpg;170,903
004;001;1;batch_004_plate_001;b_004_p_001_b.jpg;194,832
004;002;;batch_004_plate_002;b_004_p_002_nb.jpg;236,777
004;002;1;batch_004_plate_002;b_004_p_002_b.jpg;279,318
004;003;1;batch_004_plate_003;b_004_p_003_b.jpg;234,074
004;003;;batch_004_plate_003;b_004_p_003_nb.jpg;212,644
004;004;;batch_004_plate_004;b_004_p_004_nb.jpg;321,149
004;004;1;batch_004_plate_004;b_004_p_004_b.jpg;226,673
004;005;;batch_004_plate_005;b_004_p_005_nb.jpg;268,227
004;005;1;batch_004_plate_005;b_004_p_005_b.jpg;250,979
004;006;1;batch_004_plate_006;b_004_p_006_b.jpg;157,04
004;006;;batch_004_plate_006;b_004_p_006_nb.jpg;227,3
004;007;;batch_004_plate_007;b_004_p_007_nb.jpg;180,688
004;007;1;batch_004_plate_007;b_004_p_007_b.jpg;192,248
004;008;1;batch_004_plate_008;b_004_p_008_b.jpg;252,178
004;008;;batch_004_plate_008;b_004_p_008_nb.jpg;245,243
004;009;1;batch_004_plate_009;b_004_p_009_b.jpg;211,896
004;009;;batch_004_plate_009;b_004_p_009_nb.jpg;219,116
004;010;;batch_004_plate_010;b_004_p_010_nb.jpg;126,831
004;010;1;batch_004_plate_010;b_004_p_010_b.jpg;242,112
005;001;1;batch_005_plate_001;b_005_p_001_b.jpg;342,272
005;001;;batch_005_plate_001;b_005_p_001_nb.jpg;240,197
005;002;1;batch_005_plate_002;b_005_p_002_b.jpg;451,915
005;002;;batch_005_plate_002;b_005_p_002_nb.jpg;309,038
005;003;1;batch_005_plate_003;b_005_p_003_b.jpg;348,469
005;003;;batch_005_plate_003;b_005_p_003_nb.jpg;409,865
005;004;1;batch_005_plate_004;b_005_p_004_b.jpg;368,471
005;004;;batch_005_plate_004;b_005_p_004_nb.jpg;332,016
005;005;1;batch_005_plate_005;b_005_p_005_b.jpg;249,695
005;005;;batch_005_plate_005;b_005_p_005_nb.jpg;311,233
005;006;;batch_005_plate_006;b_005_p_006_nb.jpg;243,725
005;006;1;batch_005_plate_006;b_005_p_006_b.jpg;335,223
005;007;1;batch_005_plate_007;b_005_p_007_b.jpg;394,684
005;007;;batch_005_plate_007;b_005_p_007_nb.jpg;270,416
005;008;;batch_005_plate_008;b_005_p_008_nb.jpg;466,956
005;008;1;batch_005_plate_008;b_005_p_008_b.jpg;399,025
005;009;;batch_005_plate_009;b_005_p_009_nb.jpg;484,963
005;009;1;batch_005_plate_009;b_005_p_009_b.jpg;536,966
005;010;1;batch_005_plate_010;b_005_p_010_b.jpg;311,997
005;010;;batch_005_plate_010;b_005_p_010_nb.jpg;451,317
011;001;0;batch_011_plate_001;b_011_p_001_l_000_nb.png;358.0
011;001;1;batch_011_plate_001;b_011_p_001_l_000_b.png;254.0
011;002;0;batch_011_plate_002;b_011_p_002_l_000_nb.png;180.0
011;002;1;batch_011_plate_002;b_011_p_002_l_000_b.png;190.0
011;003;0;batch_011_plate_003;b_011_p_003_l_000_nb.png;452.0
011;003;1;batch_011_plate_003;b_011_p_003_l_000_b.png;499.0
011;004;0;batch_011_plate_004;b_011_p_004_l_000_nb.png;572.0
011;004;1;batch_011_plate_004;b_011_p_004_l_000_b.png;236.0
011;005;0;batch_011_plate_005;b_011_p_005_l_000_nb.png;150.0
011;005;1;batch_011_plate_005;b_011_p_005_l_000_b.png;244.0
011;006;0;batch_011_plate_006;b_011_p_006_l_000_nb.png;570.0
011;006;1;batch_011_plate_006;b_011_p_006_l_000_b.png;815.0
011;007;0;batch_011_plate_007;b_011_p_007_l_000_nb.png;577.0
011;007;1;batch_011_plate_007;b_011_p_007_l_000_b.png;477.0
011;008;0;batch_011_plate_008;b_011_p_008_l_000_nb.png;298.0
011;008;1;batch_011_plate_008;b_011_p_008_l_000_b.png;219.0
011;009;0;batch_011_plate_009;b_011_p_009_l_000_nb.png;190.0
011;009;1;batch_011_plate_009;b_011_p_009_l_000_b.png;169.0
011;010;0;batch_011_plate_010;b_011_p_010_l_000_nb.png;48.0
011;010;1;batch_011_plate_010;b_011_p_010_l_000_b.png;309.0
012;001;0;batch_012_plate_001;b_012_p_001_l_000_nb.png;283.0
012;001;1;batch_012_plate_001;b_012_p_001_l_000_b.png;260.0
012;002;0;batch_012_plate_002;b_012_p_002_l_000_nb.png;190.0
012;002;1;batch_012_plate_002;b_012_p_002_l_000_b.png;205.0
012;003;0;batch_012_plate_003;b_012_p_003_l_000_nb.png;98.0
012;003;1;batch_012_plate_003;b_012_p_003_l_000_b.png;57.0
012;004;0;batch_012_plate_004;b_012_p_004_l_000_nb.png;238.0
012;004;1;batch_012_plate_004;b_012_p_004_l_000_b.png;137.0
012;005;0;batch_012_plate_005;b_012_p_005_l_000_nb.png;285.0
012;005;1;batch_012_plate_005;b_012_p_005_l_000_b.png;281.0
012;006;0;batch_012_plate_006;b_012_p_006_l_000_nb.png;251.0
012;006;1;batch_012_plate_006;b_012_p_006_l_000_b.png;154.0
012;007;0;batch_012_plate_007;b_012_p_007_l_000_nb.png;136.0
012;007;1;batch_012_plate_007;b_012_p_007_l_000_b.png;215.0
012;008;0;batch_012_plate_008;b_012_p_008_l_000_nb.png;183.0
012;008;1;batch_012_plate_008;b_012_p_008_l_000_b.png;157.0
012;009;0;batch_012_plate_009;b_012_p_009_l_000_nb.png;157.0
012;009;1;batch_012_plate_009;b_012_p_009_l_000_b.png;122.0
012;010;0;batch_012_plate_010;b_012_p_010_l_000_nb.png;322.0
012;010;1;batch_012_plate_010;b_012_p_010_l_000_b.png;224.0
013;001;0;batch_013_plate_001;b_013_p_001_l_000_nb.png;162.0
013;001;1;batch_013_plate_001;b_013_p_001_l_000_b.png;172.0
013;002;0;batch_013_plate_002;b_013_p_002_l_000_nb.png;205.0
013;002;1;batch_013_plate_002;b_013_p_002_l_000_b.png;193.0
013;003;0;batch_013_plate_003;b_013_p_003_l_000_nb.png;189.0
013;003;1;batch_013_plate_003;b_013_p_003_l_000_b.png;208.0
013;004;0;batch_013_plate_004;b_013_p_004_l_000_nb.png;196.0
013;004;1;batch_013_plate_004;b_013_p_004_l_000_b.png;194.0
013;005;0;batch_013_plate_005;b_013_p_005_l_000_nb.png;326.0
013;005;1;batch_013_plate_005;b_013_p_005_l_000_b.png;222.0
013;006;0;batch_013_plate_006;b_013_p_006_l_000_nb.png;180.0
013;006;1;batch_013_plate_006;b_013_p_006_l_000_b.png;230.0
013;007;0;batch_013_plate_007;b_013_p_007_l_000_nb.png;155.0
013;007;1;batch_013_plate_007;b_013_p_007_l_000_b.png;189.0
013;008;0;batch_013_plate_008;b_013_p_008_l_000_nb.png;188.0
013;008;1;batch_013_plate_008;b_013_p_008_l_000_b.png;227.0
013;009;0;batch_013_plate_009;b_013_p_009_l_000_nb.png;181.0
013;009;1;batch_013_plate_009;b_013_p_009_l_000_b.png;200.0
013;010;0;batch_013_plate_010;b_013_p_010_l_000_nb.png;168.0
013;010;1;batch_013_plate_010;b_013_p_010_l_000_b.png;259.0
014;001;0;batch_014_plate_001;b_014_p_001_l_000_nb.png;581.0
014;001;1;batch_014_plate_001;b_014_p_001_l_000_b.png;650.0
014;002;0;batch_014_plate_002;b_014_p_002_l_000_nb.png;635.0
014;002;1;batch_014_plate_002;b_014_p_002_l_000_b.png;555.0
014;003;0;batch_014_plate_003;b_014_p_003_l_000_nb.png;227.0
014;003;1;batch_014_plate_003;b_014_p_003_l_000_b.png;307.0
014;004;0;batch_014_plate_004;b_014_p_004_l_000_nb.png;99.0
014;004;1;batch_014_plate_004;b_014_p_004_l_000_b.png;86.0
014;005;0;batch_014_plate_005;b_014_p_005_l_000_nb.png;475.0
